Checking Soft Delete Status for Subscription: connectivity (e268d8d7-a6ed-420c-9764-e453da4cb06c)
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatusetadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatuswsadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatasetadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatasseadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatjpetadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatauetadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatauseadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatukstadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatukwsadds01, Soft Delete Status: true
Subscription Name: identity, Subscription ID: e86de517-eebe-491c-bce7-b795b71d97db, Storage Account: stplatusw3adds01, Soft Delete Status: true
Checking Soft Delete Status for Subscription: backup (09d999b6-67a9-4cee-b580-3fd71fd24d4d)
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatasetbackup01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatasetbackupdiags01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatassebackup01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatassebackupdiags01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatjpetbackup01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatjpetbackupdiags01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatauetbackup01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatauetbackupdiags01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatausebackup01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatausebackupdiags01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatukstbackup01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatukstbackupdiags01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatukstbackupdiags02, Soft Delete Status: false
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatukwsbackup01, Soft Delete Status: true
Subscription Name: backup, Subscription ID: 09d999b6-67a9-4cee-b580-3fd71fd24d4d, Storage Account: stplatukwsbackupdiags01, Soft Delete Status: true
